Feature.Label,Feature.Identifier.Xmin,Feature.Identifier.Ymin,Feature.Identifier.Xmax,Feature.Identifier.Ymax,Feature.Identifier.CentroidX,Feature.Identifier.CentroidY,Feature.Identifier.WeightedCentroidX,Feature.Identifier.WeightedCentroidY,Feature.Orientation.Orientation,Feature.Size.Area,Feature.Size.ConvexHullArea,Feature.Size.MajorAxisLength,Feature.Size.MinorAxisLength,Feature.Size.Perimeter,Feature.Shape.Circularity,Feature.Shape.Eccentricity,Feature.Shape.EquivalentDiameter,Feature.Shape.Extent,Feature.Shape.FractalDimension,Feature.Shape.MinorMajorAxisRatio,Feature.Shape.Solidity,Feature.Shape.HuMoments1,Feature.Shape.HuMoments2,Feature.Shape.HuMoments3,Feature.Shape.HuMoments4,Feature.Shape.HuMoments5,Feature.Shape.HuMoments6,Feature.Shape.HuMoments7,Feature.Shape.WeightedHuMoments1,Feature.Shape.WeightedHuMoments2,Feature.Shape.WeightedHuMoments3,Feature.Shape.WeightedHuMoments4,Feature.Shape.WeightedHuMoments5,Feature.Shape.WeightedHuMoments6,Feature.Shape.WeightedHuMoments7,Feature.Shape.FSD1,Feature.Shape.FSD2,Feature.Shape.FSD3,Feature.Shape.FSD4,Feature.Shape.FSD5,Feature.Shape.FSD6,Feature.Nucleus.Intensity.Min,Feature.Nucleus.Intensity.Max,Feature.Nucleus.Intensity.Mean,Feature.Nucleus.Intensity.Median,Feature.Nucleus.Intensity.MeanMedianDiff,Feature.Nucleus.Intensity.Std,Feature.Nucleus.Intensity.IQR,Feature.Nucleus.Intensity.MAD,Feature.Nucleus.Intensity.Skewness,Feature.Nucleus.Intensity.Kurtosis,Feature.Nucleus.Intensity.HistEnergy,Feature.Nucleus.Intensity.HistEntropy,Feature.Cytoplasm.Intensity.Min,Feature.Cytoplasm.Intensity.Max,Feature.Cytoplasm.Intensity.Mean,Feature.Cytoplasm.Intensity.Median,Feature.Cytoplasm.Intensity.MeanMedianDiff,Feature.Cytoplasm.Intensity.Std,Feature.Cytoplasm.Intensity.IQR,Feature.Cytoplasm.Intensity.MAD,Feature.Cytoplasm.Intensity.Skewness,Feature.Cytoplasm.Intensity.Kurtosis,Feature.Cytoplasm.Intensity.HistEnergy,Feature.Cytoplasm.Intensity.HistEntropy,Feature.Nucleus.Gradient.Mag.Mean,Feature.Nucleus.Gradient.Mag.Std,Feature.Nucleus.Gradient.Mag.Skewness,Feature.Nucleus.Gradient.Mag.Kurtosis,Feature.Nucleus.Gradient.Mag.HistEntropy,Feature.Nucleus.Gradient.Mag.HistEnergy,Feature.Nucleus.Gradient.Canny.Sum,Feature.Nucleus.Gradient.Canny.Mean,Feature.Cytoplasm.Gradient.Mag.Mean,Feature.Cytoplasm.Gradient.Mag.Std,Feature.Cytoplasm.Gradient.Mag.Skewness,Feature.Cytoplasm.Gradient.Mag.Kurtosis,Feature.Cytoplasm.Gradient.Mag.HistEntropy,Feature.Cytoplasm.Gradient.Mag.HistEnergy,Feature.Cytoplasm.Gradient.Canny.Sum,Feature.Cytoplasm.Gradient.Canny.Mean,Feature.Nucleus.Haralick.ASM.Mean,Feature.Nucleus.Haralick.ASM.Range,Feature.Nucleus.Haralick.Contrast.Mean,Feature.Nucleus.Haralick.Contrast.Range,Feature.Nucleus.Haralick.Correlation.Mean,Feature.Nucleus.Haralick.Correlation.Range,Feature.Nucleus.Haralick.SumOfSquares.Mean,Feature.Nucleus.Haralick.SumOfSquares.Range,Feature.Nucleus.Haralick.IDM.Mean,Feature.Nucleus.Haralick.IDM.Range,Feature.Nucleus.Haralick.SumAverage.Mean,Feature.Nucleus.Haralick.SumAverage.Range,Feature.Nucleus.Haralick.SumVariance.Mean,Feature.Nucleus.Haralick.SumVariance.Range,Feature.Nucleus.Haralick.SumEntropy.Mean,Feature.Nucleus.Haralick.SumEntropy.Range,Feature.Nucleus.Haralick.Entropy.Mean,Feature.Nucleus.Haralick.Entropy.Range,Feature.Nucleus.Haralick.DifferenceVariance.Mean,Feature.Nucleus.Haralick.DifferenceVariance.Range,Feature.Nucleus.Haralick.DifferenceEntropy.Mean,Feature.Nucleus.Haralick.DifferenceEntropy.Range,Feature.Nucleus.Haralick.IMC1.Mean,Feature.Nucleus.Haralick.IMC1.Range,Feature.Nucleus.Haralick.IMC2.Mean,Feature.Nucleus.Haralick.IMC2.Range,Feature.Cytoplasm.Haralick.ASM.Mean,Feature.Cytoplasm.Haralick.ASM.Range,Feature.Cytoplasm.Haralick.Contrast.Mean,Feature.Cytoplasm.Haralick.Contrast.Range,Feature.Cytoplasm.Haralick.Correlation.Mean,Feature.Cytoplasm.Haralick.Correlation.Range,Feature.Cytoplasm.Haralick.SumOfSquares.Mean,Feature.Cytoplasm.Haralick.SumOfSquares.Range,Feature.Cytoplasm.Haralick.IDM.Mean,Feature.Cytoplasm.Haralick.IDM.Range,Feature.Cytoplasm.Haralick.SumAverage.Mean,Feature.Cytoplasm.Haralick.SumAverage.Range,Feature.Cytoplasm.Haralick.SumVariance.Mean,Feature.Cytoplasm.Haralick.SumVariance.Range,Feature.Cytoplasm.Haralick.SumEntropy.Mean,Feature.Cytoplasm.Haralick.SumEntropy.Range,Feature.Cytoplasm.Haralick.Entropy.Mean,Feature.Cytoplasm.Haralick.Entropy.Range,Feature.Cytoplasm.Haralick.DifferenceVariance.Mean,Feature.Cytoplasm.Haralick.DifferenceVariance.Range,Feature.Cytoplasm.Haralick.DifferenceEntropy.Mean,Feature.Cytoplasm.Haralick.DifferenceEntropy.Range,Feature.Cytoplasm.Haralick.IMC1.Mean,Feature.Cytoplasm.Haralick.IMC1.Range,Feature.Cytoplasm.Haralick.IMC2.Mean,Feature.Cytoplasm.Haralick.IMC2.Range
1.0,188.0,0.0,202.0,11.0,194.55371900826447,4.380165289256198,194.06636948984647,4.196384348687469,-1.5341475791600094,121.0,129.0,13.724409459040784,11.510369868374044,40.14213562373095,0.9436138062456627,0.5446265142276944,12.412170838050638,0.7857142857142857,0.807354922057605,0.8386786989069123,0.937984496124031,0.1657272879680688,0.0008328352175845625,0.0003948709063821515,5.317035611594677e-06,-2.3890969318801976e-10,-1.49582860860174e-07,-4.772893858766726e-11,0.005408959129736791,2.1827897404135403e-06,2.920296826495162e-08,5.12260689075553e-09,6.216857798969136e-17,7.422793922492263e-12,-7.785501593468623e-18,0.4752931,0.0027274,0.0066875,0.2028227,0.0305667,0.025932,1.0,167.0,33.37190082644628,28.0,5.371900826446279,26.670977271526137,34.0,17.0,1.5648120699106136,4.152060095091018,0.23133665733214945,1.6332656606082803,158.0,232.0,192.1761006289308,194.0,-1.8238993710691886,13.410563090525624,17.0,9.0,-0.2707332477473893,-0.1655387577125813,0.15865669870653848,1.9886584763084068,24.19865550799687,21.90384389531702,2.0779943904565767,5.565422486209956,1.5079530476674143,0.28078683150058054,32.0,0.2644628099173554,11.075331390613357,6.285509690738781,0.9498885222033364,1.4526915023530877,1.7725664132055847,0.19502788655512043,96.0,0.3018867924528302,0.014064694662300179,0.004469556417608362,21.092938311688314,21.500000000000004,0.7250363097668827,0.308250975698672,38.967981852822064,4.643446009257701,0.3645693962096486,0.12705047977111011,13.320860389610388,1.1562770562770535,134.7789890995999,40.07378403703086,4.874575147537653,0.20482049867383978,6.703095475927249,0.29086463417109076,0.003940005194570941,0.001983834167275721,3.0932471891847526,0.5956981446361369,-0.3342442719650689,0.0869018705510024,0.9644384798849786,0.030129145998930684,0.02851028454504852,0.006903751154201294,7.755053056027164,5.186578947368422,0.4893137457237349,0.32225416094153375,7.570207053822813,0.2943972010618836,0.4482193095312195,0.08790943771392873,45.17606182795699,0.06644029428409937,22.525775159264185,4.008990143119945,3.908380485378014,0.05767900909551349,5.848820194210454,0.32270698446642854,0.006376465433793124,0.0016142851646660482,2.458980818784009,0.36558312460174225,-0.1330543682758879,0.08554857066652488,0.751189169405945,0.15943932394810523
2.0,610.0,2.0,620.0,17.0,614.9101123595506,8.752808988764045,614.4619565217391,8.135375494071146,0.3395132134950963,89.0,104.0,15.671812600651311,7.412845621980718,38.38477631085023,0.7590700261348698,0.8810597458979602,10.645107772184812,0.5933333333333334,1.0000000000000002,0.47300499379839733,0.8557692307692307,0.21106460000368815,0.017925793075174556,8.229833998817805e-05,7.094826647088593e-06,-1.6367911278335488e-10,-9.303886740701143e-07,-5.099302569581498e-11,0.009973201465516184,3.464113464304339e-05,3.432624199501006e-08,1.075688640003264e-08,2.0627796255277008e-16,5.659502257405794e-11,1.3220790219557913e-17,0.4918895,0.0003864,0.001748,0.1934767,0.0355014,0.0369524,7.0,114.0,22.741573033707866,19.0,3.7415730337078656,13.586616092736545,12.0,5.0,3.770851497948833,21.113233588952006,0.3319025375583891,1.2479161277100608,107.0,234.0,192.40554156171285,195.0,-2.5944584382871483,16.212669409811866,17.0,9.0,-1.0073202841907554,1.9020447421636506,0.24925607040207093,1.60747030546547,20.135904086536005,23.653820659385282,1.7179154302537725,2.3726119920995457,1.49172181056215,0.3700290367377857,12.0,0.1348314606741573,14.553424246365681,9.748964106179825,1.6449915133788924,3.9922126630326176,1.6685325686016572,0.2253614958536632,107.0,0.2695214105793451,0.026853350084653352,0.00894820936639117,32.82484848484849,44.167272727272724,0.6989956241041506,0.4077547868352095,55.2476097677772,4.814723966942118,0.36420453708988065,0.16746496619288892,15.955132575757576,1.7163636363636314,188.1655905862604,59.0133685950415,4.628756751052326,0.225026483621801,6.309304223437813,0.3646552534719074,0.0035973452565427003,0.0022473671372819116,3.269048448024111,0.8224351397168062,-0.38038364596605523,0.1379623549025803,0.9718576072870162,0.029096221315688786,0.021228697266083053,0.0037911396823077786,8.382513697129081,5.489116809116808,0.45948922683784743,0.35146658066864744,7.749775351673094,0.060968986501052314,0.40193841323781065,0.06976596598537449,45.15159105851413,0.04662721893490129,22.616587709563703,5.2942301702098575,4.033815032391958,0.1431138240634775,6.239518104517932,0.23991538854184835,0.0054093428791366525,0.0017919201142847854,2.6381756724821055,0.42455507762081,-0.10724129950823891,0.07040060154483588,0.7066003054741636,0.15474461937227746
3.0,444.0,11.0,466.0,32.0,455.1455399061033,21.995305164319248,453.78985985160756,20.901813685078316,0.7987802287615169,213.0,265.0,25.6273257251091,11.903740410176923,68.01219330881975,0.5786499319704381,0.885576238461138,16.46815177937675,0.461038961038961,0.9036774610288015,0.464494053646569,0.8037735849056604,0.2342895714711613,0.02284114147714328,0.0015922328495430293,0.0004675935492314033,4.020112416091242e-07,6.956738116425696e-05,-3.422149146660653e-08,0.0045528715968643895,8.942340504602208e-06,7.617758014685104e-09,3.3446800203988704e-09,1.173539123669627e-18,8.168556262271544e-12,1.6842001691768026e-17,0.2204482,0.0008896,0.0012887,0.1206729,0.265429,0.0671335,9.0,226.0,56.948356807511736,38.0,18.948356807511736,49.0241117223328,43.0,16.0,1.6821433799622854,1.8912501561979864,0.24569640062597808,1.696705853272559,53.0,219.0,189.2765625,196.0,-6.723437499999989,21.662829932480978,23.0,10.0,-2.0085376056858357,6.9412060755572735,0.274228515625,1.4809619918494104,29.865705070688144,28.045481816186253,1.084988713691006,0.3567319419374697,1.707871504328783,0.2499724481474134,51.0,0.23943661971830985,15.0963307545014,13.243852380470537,2.2980272426767,6.978280015332366,1.4253182720909139,0.30404296875000003,180.0,0.28125,0.006225186974776039,0.0016667423008718757,30.15123068630974,27.645962732919266,0.7390508592712616,0.23672465704820977,57.698430561343116,0.800982511370762,0.30675137161226534,0.08618253662820324,24.815101894153276,0.34868162140889325,200.64249155906268,25.755544864032004,5.4630232261837826,0.05984671651051965,7.961024645000453,0.3329096770484359,0.0027684713405212186,0.0014681864598547647,3.4575151348644417,0.5892422953103225,-0.25248045255283375,0.07676462725656205,0.9464869363746928,0.04270331460726273,0.022009972320822246,0.0036353035007778527,9.028242858790513,4.988254969051553,0.5920943479578834,0.21988429799429765,11.056142984233148,0.160389974245561,0.41420634211466467,0.0692104585325356,44.463674022528934,0.055265080158378055,35.1963290781419,4.364565468476712,4.229093359318254,0.05868928267939921,6.417599215479371,0.2640752889242517,0.005516798412285875,0.0010923284851106062,2.6524063389253367,0.32346071436092316,-0.1279790581370669,0.06933103233735427,0.76305049148514,0.13474553748730866
4.0,317.0,19.0,332.0,32.0,323.96923076923076,24.99230769230769,323.89657264179556,24.64846830451926,1.088815571393227,130.0,145.0,14.633604807007304,11.373179326180908,42.62741699796952,0.8990320646778746,0.6292585763037893,12.865501965161373,0.6666666666666666,1.3219280948873637,0.7771960139811115,0.896551724137931,0.16514019116977696,0.001661862901349524,1.8181184511612475e-05,2.3515557072134974e-07,-3.8287390808473607e-13,-7.750406550327116e-09,-2.9971590856475046e-13,0.006788214102947802,6.0915057835758794e-06,5.794498946980028e-09,2.0114556389464474e-09,6.807317722680333e-18,1.7950813391924215e-12,9.041816706874372e-19,0.2331859,0.0007437,0.0025176,0.2976089,0.0508114,0.04505,6.0,58.0,25.361538461538462,24.0,1.361538461538462,12.124992527295934,18.0,9.0,0.6074996187609976,-0.4669028436818814,0.12485207100591718,2.1634520775092176,122.0,237.0,196.58713692946057,198.0,-1.41286307053943,11.512291847719093,15.0,7.0,-1.1440276593301462,4.1071626687755565,0.30510838312012534,1.3715281347741257,18.059283812733987,19.130894237462353,1.7427839143224062,2.417391515998869,1.5131808540872589,0.3175147928994083,26.0,0.2,10.20439256770967,7.391892982696659,1.6940617858504994,3.924278592444825,1.6558393404949354,0.2286806356639865,152.0,0.3153526970954357,0.018343970971031413,0.003031722550953315,27.41910485347985,20.875824175824178,0.7121240945021294,0.2467085521891036,48.456915831290296,5.513702552026707,0.36912945571741596,0.10810324978324737,15.066403388278388,1.4274725274725277,166.40855847168132,42.61105515973648,4.755616801452502,0.16580287858046816,6.5721950102796125,0.07574138710510425,0.0038908140976897407,0.002048279864213929,3.2089382249317198,0.5643299567463802,-0.3358266341671757,0.05467402104350422,0.9639419657386346,0.01867159796352924,0.03901010462006754,0.005504950749401806,4.888011988629341,1.5911111111111103,0.479450464408639,0.1618219593500999,4.691205568441546,0.07184879258966248,0.48806142853496326,0.06975741108932787,46.64085959708318,0.0470498084291151,13.876810285137367,1.3037159407531362,3.634947232875428,0.07839960693131998,5.486470745600192,0.14185162668111762,0.006753137247709556,0.0011859255927671453,2.3421437923567714,0.19072199883833418,-0.09857282897580819,0.03944755356275781,0.6578963737746248,0.09833892264828237
5.0,430.0,24.0,441.0,36.0,434.91358024691357,29.320987654320987,434.90625,29.298344017094017,-0.5472503145650849,81.0,92.0,11.134560181030698,9.432369574530119,33.79898987322333,0.8910199763400904,0.5313929156321122,10.155412503859614,0.6136363636363636,1.2223924213364492,0.8471254743047235,0.8804347826086957,0.16431174862308326,0.0007297016118350079,0.0001645551589957448,2.2890695224793055e-06,-1.9017557322717463e-11,-1.945154387535909e-08,-4.0150538442428703e-11,0.0035085940555391456,3.1895433527495535e-07,8.413036005491268e-10,5.435563236774131e-11,7.577769803402463e-21,1.2597952812586052e-14,-8.814026672449596e-21,0.3915287,0.0010146,0.0252651,0.2347332,0.0505442,0.0264319,21.0,103.0,46.22222222222222,44.0,2.2222222222222214,13.218953844413738,14.0,6.0,1.625031362466548,4.811946173392267,0.214144185337601,1.7145026621204003,120.0,216.0,192.1802030456853,197.0,-4.819796954314711,15.669347164700559,19.0,8.0,-1.3784134150687988,2.056481987799181,0.23734185369373084,1.707729009540626,17.508031959264216,20.246772085355875,2.4213435215138346,5.881514629548345,1.3755221045275496,0.3412589544276788,10.0,0.12345679012345678,10.884568199883983,7.900043852319542,1.1370272312679797,1.065844593216096,1.8760851468019288,0.18160735911773043,109.0,0.2766497461928934,0.02113981809335284,0.004669306024201132,18.02306721056721,22.236013986013983,0.7354561343473355,0.32428746683329746,34.025179997444724,1.114344161838332,0.36610878565470906,0.10206136571372038,17.976495726495727,0.62062937062937,118.07765277921163,20.29037721214297,4.575641576762866,0.27570921636198964,6.285936894676427,0.2306688161766317,0.004687034776939987,0.0021450298438934782,2.942017402658052,0.6893051566054025,-0.3590747290211271,0.04985782755159557,0.9676943641964046,0.01374480586582516,0.047406349671866785,0.007822806911111646,3.7721385941644563,1.8712807881773403,0.6966945748359255,0.1491570494538016,6.213366407983017,0.09504110992008918,0.5370601779300272,0.09405346254842128,45.79875094732853,0.07741758241757424,21.081327037767664,1.7701322453845023,3.7853534397049167,0.06398812820378375,5.458397988762737,0.27063407311386456,0.007382738371329111,0.0019594515154456532,2.195754506321341,0.32727545012400316,-0.18485238249350763,0.08621117429985439,0.8141832275391223,0.10876661886683037
6.0,341.0,23.0,354.0,36.0,347.3061224489796,29.397959183673468,347.98957079823504,28.883674288006418,-0.745593028075789,98.0,112.0,14.975209504617542,8.424671326825298,38.62741699796952,0.825362254318116,0.826746579885946,11.170383851240114,0.5798816568047337,1.3219280948873637,0.562574521860785,0.875,0.18828570578585452,0.009556286002870368,8.669206163572149e-05,4.839024982726411e-06,-4.0001296780799584e-11,-2.416726148940853e-07,-9.06812816591997e-11,0.00851256271419195,1.963032018903803e-05,5.94127003034994e-08,7.877761886684784e-08,5.386599602875626e-15,3.436205245656318e-10,1.7505868052034998e-16,0.3643948,0.0006531,0.001781,0.2503261,0.0343581,0.038694,5.0,79.0,25.43877551020408,23.5,1.9387755102040813,16.957369312804058,22.5,11.5,1.0299324511415968,0.7430956515682468,0.17950853810912118,1.925352959987913,138.0,229.0,196.6769911504425,199.0,-2.3230088495575103,12.259982451369426,12.5,6.0,-1.2068114245261639,2.380149797210856,0.24677930926462524,1.6185855339881439,21.527047001510347,24.428926949101964,1.5826373453586753,1.5269100116879928,1.6272718676121467,0.3000832986255727,15.0,0.15306122448979592,10.46943350549119,8.034317277124217,2.368663984086622,8.891635002417221,1.4358498247231781,0.2866904221160624,129.0,0.2853982300884956,0.021398346110616088,0.003167942013120501,28.275781910397296,32.80642434488588,0.7948560360822337,0.24497495502351996,69.08651930275978,3.6710240309141398,0.3837055646978165,0.0708673896649723,19.00359256128487,1.171597633136102,248.07029530064185,44.81072591495882,5.026546943968319,0.0891774775287999,6.70947580564869,0.32739835998041045,0.0035493305223817397,0.0016346591505899638,3.2586839300178916,0.6323748997701473,-0.3918988753964909,0.0826556032933401,0.9802666227175761,0.015155150015130903,0.04257237391137543,0.006078123216521389,4.867785683877638,1.9009304871373836,0.5202050372428922,0.17682687219189375,5.066680833717953,0.11784238070958963,0.4955388184126467,0.08058393425409027,46.44188104360518,0.033424557562483415,15.398937650994185,1.453666762967714,3.5924350247214667,0.1122715592605723,5.438329662229519,0.18859761603440184,0.006796397124125246,0.0012109766504503593,2.3201028500955214,0.24983225565732292,-0.11191599582699173,0.05578377647602968,0.6894482001226849,0.12395031229898923
7.0,613.0,43.0,625.0,58.0,618.3394495412844,50.440366972477065,619.1236249345206,51.459053605727256,0.3645276063052621,109.0,124.0,14.250504814261014,10.265048610071888,41.21320343559643,0.8064243192595055,0.6936328009623143,11.780624362746345,0.6055555555555555,1.3219280948873637,0.7203287703744551,0.8790322580645161,0.17686244864014633,0.0031386762721996244,0.0009366378937064794,1.6806920017788774e-05,-2.1070011676408614e-09,-9.411344830873204e-07,8.502122329917951e-11,0.0033338270023299636,1.776626139659475e-06,4.449773501635496e-09,3.247914450882056e-09,-2.007370203964891e-19,4.32426712810144e-12,-1.2345776901020531e-17,0.4005801,0.0003278,0.0024486,0.2095425,0.0783188,0.0300789,18.0,184.0,52.54128440366973,44.0,8.541284403669728,30.375790731608795,28.0,13.0,1.9398403585427648,4.424800051019281,0.23928962208568305,1.6664941472465593,124.0,227.0,192.80737704918033,197.0,-4.192622950819668,15.08961573255577,17.25,8.0,-1.26790540965422,2.2881963024955327,0.24114821284600915,1.6864356812933101,21.39038834777894,16.88450791205123,1.3919431041205927,1.680229979874042,1.8505846045514747,0.1960272704317819,16.0,0.14678899082568808,11.926361200301237,8.435697148949913,1.1281147534798301,0.886069891937594,1.9088559577562856,0.17453305563020693,170.0,0.3483606557377049,0.012092620539729664,0.0032608298633939638,19.27754407051282,15.112393162393158,0.6989799802812893,0.24846432989563338,32.29406197240192,2.180731426693015,0.31417580586126226,0.09139804611310731,18.772682959401706,0.7153846153846182,109.89870381909492,22.726090474103273,4.9445296860027526,0.13526467054067837,6.954424847863537,0.28219296928536597,0.00350532728478457,0.0012963305391190012,3.142858298966485,0.49147997661696596,-0.3018233342209212,0.0902421267722458,0.9554870835099194,0.032609830818089325,0.03287631509628211,0.006831134639698269,5.184990080744478,2.6274431908469733,0.3895996088032039,0.3028754912881737,4.243405851634122,0.051318946938636145,0.45097963168427857,0.11057283336770729,46.314623825580014,0.03762116637533097,11.788633325791693,2.4221674030927716,3.617295317221557,0.14739944232278512,5.644673297179034,0.24358726181746082,0.006334527618042511,0.0016700013331448242,2.3904069671915957,0.3279672871541863,-0.07196300327014664,0.07981670482855249,0.5708011541897031,0.22984638651657657
8.0,473.0,44.0,485.0,57.0,478.2647058823529,50.8235294117647,477.6240747268241,51.540535777229465,0.29594203468503255,102.0,117.0,12.353684867307306,11.087991866197777,39.21320343559643,0.8335763622686277,0.4409222419249373,11.396070970426017,0.6538461538461539,1.3219280948873637,0.8975453061410811,0.8717948717948718,0.16884625822647398,0.0003305169934930526,0.000823294560936276,3.4755314125902075e-06,-7.259583880324851e-11,-1.5252237048369164e-08,1.7115326064240857e-10,0.002809080973386482,8.241402309940367e-08,1.9851844796067592e-09,1.429980433312806e-09,-1.9181731628670307e-18,-1.2709399049089402e-13,1.4578970399020004e-18,0.3943612,0.0008224,0.0037641,0.2196074,0.063609,0.0289924,18.0,176.0,55.627450980392155,41.5,14.127450980392155,35.86355448866331,35.75,12.5,1.5101659235716547,1.4243245142788057,0.23760092272202998,1.7678360375999114,97.0,222.0,188.93818984547462,194.0,-5.061810154525375,19.089904022164117,21.0,10.0,-1.6694956816609858,4.05016936203335,0.24633909818770136,1.653550302815074,23.77866846933412,19.16022289827991,0.7292150553270544,-0.6473485632673928,2.025531014725284,0.16532103037293347,21.0,0.20588235294117646,12.863265956666458,10.672242697952663,1.8078525051470475,3.857883695418849,1.6006189973971356,0.25459409675014255,130.0,0.2869757174392936,0.016979985982333946,0.005658211080377671,20.947643702451394,27.374260355029584,0.6675414624269057,0.45175948099978525,31.91404656939614,2.4989282806974558,0.3375546912898518,0.17356913490745668,17.926546210200055,0.918639053254438,106.70854257513321,37.36997347781943,4.757177162197992,0.1743221472628944,6.691222038187824,0.361482559656479,0.0037931715588652637,0.003322262973207443,3.1280790995707752,0.9838909918759922,-0.3154564132672036,0.11852451769684152,0.9557813182278817,0.04138462012461719,0.03031817217167506,0.007391116118207839,7.029159064647571,4.938195584747309,0.568217919474739,0.29364216315515296,8.125482559856096,0.1832000434544625,0.4592794654131834,0.09182250748630849,45.333942255062944,0.08786717752236228,25.472771174777108,4.205395410930123,3.965850151999668,0.06560170585785086,5.9110837655406945,0.328172634694055,0.006054139887805432,0.0015953049801072632,2.513501124932668,0.40950464945083764,-0.13317012266901757,0.09079747516091835,0.7513703972662128,0.16249364275312228
9.0,448.0,49.0,463.0,66.0,455.16993464052285,56.60130718954248,455.2992412746586,56.911077389984825,0.5319088737067906,153.0,180.0,17.363628470156474,12.285108999317679,51.698484809834994,0.7193589727945016,0.7066936330298103,13.957279475043833,0.6,1.1375035237499362,0.7075196880901109,0.85,0.18481188593739573,0.0037832394170326925,0.0010868047389045303,6.35443290777987e-05,-6.954835787012317e-09,-7.457946190716202e-07,-1.518181464116436e-08,0.008822664936154445,2.9465753795777997e-06,9.075827160478216e-08,4.636503524248336e-09,6.711886227431258e-17,4.897580695296807e-12,6.73875939544148e-17,0.0177495,0.0017649,0.0026146,0.3435142,0.1722217,0.0700454,0.0,150.0,21.535947712418302,18.0,3.5359477124183023,18.428106603520884,23.0,11.0,2.586838358959752,13.65284176743219,0.3114614037336068,1.3099156277651913,37.0,225.0,192.71851851851852,195.0,-2.281481481481478,15.651482879386576,16.0,8.0,-2.4689981809501393,17.903710188175584,0.4148696844993141,1.1213705817517572,22.578501613026514,26.519055121146422,1.8667707709208452,2.8066344501296,1.400125841973827,0.37870049980776627,27.0,0.17647058823529413,11.773074092994547,10.860022871579554,4.386195891364616,28.869313395832382,0.9665910802615778,0.4653360768175583,153.0,0.2833333333333333,0.016580805500229022,0.001866199298346801,26.6396105664488,15.167538126361649,0.7764013761982944,0.13331539691829963,59.89974494021767,4.179460784313747,0.3717535724976315,0.070350796604704,16.60789760348584,1.1882352941176464,212.95936919442198,30.348725490196102,5.176835089133995,0.09602744253578699,7.076011227459887,0.07727037649900481,0.0038226281190334808,0.0015373924321604696,3.2059635008864413,0.38407048264524857,-0.3387960886104922,0.04062452908959402,0.97165600130843,0.011085587246196571,0.03280203351527628,0.005392006443310324,9.237425727866905,3.0575757575757585,0.5204010260064056,0.14958901552018034,9.620693682627405,0.17852041022183585,0.46331306747239037,0.07469252527190862,45.418857215417944,0.07842945584881278,29.24534900264257,2.3434941166888166,3.9634668691437467,0.08672287700162284,5.85882821336421,0.19411682646541628,0.006350113272986466,0.0011985807501644838,2.501465541612745,0.27797413178053176,-0.1296724655984221,0.05322591697739715,0.7497845317790501,0.09622806734482148
10.0,307.0,61.0,317.0,73.0,311.1309523809524,66.0952380952381,311.3032564450475,66.80495251017639,-0.1534108857976845,84.0,93.0,11.329558754119656,9.511030046280949,32.970562748477136,0.9710384578239463,0.543378032678138,10.341765891652821,0.7,1.0000000000000007,0.839488125945112,0.9032258064516129,0.16281145394665802,0.0007951732371371395,9.256257698968956e-05,1.394132053142397e-06,8.583330427521607e-12,3.344073556006665e-08,-1.3309311856717815e-11,0.004914186058054557,1.3588704185359047e-06,4.8988326013069124e-09,9.155217284500825e-10,1.903595263953188e-18,7.196750162883888e-14,3.681741594248268e-19,0.502764,0.0016782,0.0044173,0.1869392,0.036108,0.0225654,5.0,104.0,35.095238095238095,32.0,3.095238095238095,18.990360366461523,21.5,11.0,1.310814492679591,2.3940878449410263,0.18140589569160998,1.863420933096796,145.0,219.0,194.97260273972603,197.5,-2.527397260273972,12.5333956843705,13.0,6.5,-1.2655893185042215,2.0904882568722796,0.20834636475469653,1.8126637730656112,21.328185167578887,19.32987924802383,2.0662498425605422,4.269284694578493,1.5557347716991539,0.2854308390022676,13.0,0.15476190476190477,9.785590569881409,7.024271543343821,1.832342890565517,5.5458844084494086,1.4983201723161632,0.26862450741227245,126.0,0.2876712328767123,0.015785929239272772,0.0018836088154269987,14.73277972027972,8.614393939393938,0.5860972267979387,0.2941488309181683,18.256436331187754,4.19249612603307,0.3667881719573295,0.11184019258301742,12.988257575757576,0.9613636363636378,58.29296560447129,24.101045110192757,4.499630663285752,0.34960318628981657,6.41518970793631,0.1937735450478275,0.004783074778089528,0.0008679479453627152,2.835049328753533,0.19952618231552544,-0.30287210710629076,0.03411088467532841,0.948320174232333,0.01887092331532303,0.04938582546243187,0.0063796449314866,3.6628975271216646,1.7854599104599105,0.4821488414350119,0.2415254815654122,3.530709696837107,0.08366380827874309,0.5357090932069157,0.07130359064792613,46.67102262360883,0.046371731716561726,10.45994126022697,1.450804677346241,3.4865715501000727,0.06942492331121297,5.104968121040666,0.1699163960921677,0.008074932549891964,0.001311875085309406,2.091114151374186,0.21804832457806134,-0.10953430420436469,0.05034701644279896,0.6655839883296903,0.11080469996161779
